"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1962507693882613";"2105";"39";"2";"1960518867414829_1962507693882613";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1962507770549272";"2106";"39";"2";"1960518867414829_1962507770549272";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1962507313882651";"2107";"39";"2";"1960518867414829_1962507313882651";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1969852256481490";"2108";"39";"2";"1960518867414829_1969852256481490";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"Амаржаргал худалаа чамд хийгээгүй албан тушаал бараг үлдээгүй шүү долгион та хоёр xx банкны тэжээвэр гөлөгнүүд ард түмэн болгоомжил бүү сонго"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1962507857215930";"2109";"39";"2";"1960518867414829_1962507857215930";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1962449253888457";"2110";"39";"2";"1960518867414829_1962449253888457";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"Боловсролтой шудрага та бүгдийг багаар дэмжье"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1961511573982225";"2111";"39";"2";"1960518867414829_1961511573982225";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960786310721418";"2112";"39";"2";"1960518867414829_1960786310721418";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/150150755118325_1960518867414829";"2113";"39";"2";"150150755118325_1960518867414829";"offcut";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/150150755118325_1960518867414829";"2114";"39";"2";"150150755118325_1960518867414829";"headers";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
