"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"2";"13";"2";"112043303781002_148527700132562";"empty";"fetched (200)";"2020-06-15 14:07:56.078263";"Facebook:/<post-id>/comments";"";""
"2";"14";"2";"112043303781002_148527700132562";"offcut";"fetched (200)";"2020-06-15 14:07:56.078263";"Facebook:/<post-id>/comments";"";""
"2";"15";"2";"112043303781002_148527700132562";"headers";"fetched (200)";"2020-06-15 14:07:56.078263";"Facebook:/<post-id>/comments";"";""
"2";"16";"3";"147843726867626_147900706861928";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Мөнгөөр зодоод гардаг юмаа гэхэд Яаж огцорлоо тэрэн шигээ Огцорно ш д наадах чинь 😂😂😂"
"2";"17";"3";"147843726867626_148034396848559";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Мак ын хэдэн ажилчидаа цуглуулчаад сүртэй2 зураг дардын"
"2";"18";"3";"147843726867626_147975963521069";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Хэнийч өмнө хэлэх гэснээ хэлчих хүн монголын төрд хэрэгтэй шүүхийг өнөөдөр хараядаа"
"2";"19";"3";"147843726867626_148083820176950";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"эцэг бүхэн өөрийнхөө үр хүүдийн төлөө муу сайнч байсэн үхтэл үр харам гэж"
"2";"20";"3";"147843726867626_147990353519630";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"хүүхэд нь гишүүн байвал энэ хүнд ашигтай л байж дээ ингэж хөлөө хугалчих гэж явахыг бодоход"
"2";"21";"3";"147843726867626_148171593501506";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Aav huu 2 jujig tegeed ur dun ni udahgui garna daa.esvel gishuun.esvel .."
"2";"22";"3";"147843726867626_148137480171584";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Ene ger bvl zvgeer barahgvi hurungu,munguu ideed nam jim amidarch boldoggvin bhdaa"
"2";"23";"3";"147843726867626_148005970184735";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"shorongos u ya ya ..."
"2";"24";"3";"147843726867626_148005376851461";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"ene tsagaan tolgoitoi owgonoos tsagaan suwargiin ordoo away "
"2";"25";"3";"147843726867626_148009536851045";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Үхтэл үр харам"
"2";"26";"3";"147843726867626_148037243514941";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Буриад удам"
"2";"27";"3";"147843726867626_147961766855822";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"mundag hvn shvv fake aac r bish ooriinhooroo bichildee chadaj bnashdee hogshoon"
"2";"28";"3";"147843726867626_148067723511893";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"#freeNomt"
"2";"29";"3";"147843726867626_148033826848616";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"30";"3";"147843726867626_148040536847945";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Etseg hvn aav hvn iiml bh esoi vhtel vr haram gej"
"2";"31";"3";"147843726867626_148188246833174";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Odoo teruugeer yahavdee hayaachdee"
"2";"32";"3";"147843726867626_148120940173238";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Hvvgee sn hvmvvjvvleldee"
"2";"33";"3";"147843726867626_147845496867449";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"#freeNomt"
"2";"34";"3";"147843726867626_148150600170272";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"ymr ih noloo bvhii hun be gdgig l haruulj bndaa"
"2";"35";"3";"147843726867626_148014646850534";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Хууль бүгдэд нь тэгш байх хэрэгтэй мөнгө төгрөгдөөд нь үйчилнэ гэж юу байхав наад хэд чинь их баавартай амаар нь гартал мөгнө чихнэ гэж ярьдаг хулгайчууддаа"
"2";"36";"3";"147843726867626_148011026850896";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"37";"3";"147843726867626_148201066831892";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Tagnuulin alband bsan mongolin baylagig samarsan hun!!!"
"2";"38";"3";"147843726867626_148172276834771";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"negmoson ooroo dewshchuul yasiin mongoliin ard tumnii bayalgiig hulgailchaad ichidgui owgon "
"2";"39";"3";"147843726867626_148034363515229";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Муу гөлөг тагнуулд байхдаа олон лизенц хулгайлсан цагаан хуврагын авъяа"
