"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"1";"155";"1";"110296187292128_140673000921113";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сонгуульд цахимаар оролцож буй анхны нэр дэвшигчид.  #зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-04T06:34:19+0000";"link";"1";"18";"23";"21";"2";"0";"0";"0";"0"
"1";"156";"1";"110296187292128_140672937587786";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сонгуульд цахимаар оролцож буй анхны нэр дэвшигчид.  #зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-04T06:34:08+0000";"link";"1";"";"8";"8";"0";"0";"0";"0";"0"
"1";"157";"1";"110296187292128_140666524255094";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Энэ удаагийн УИХ-н сонгуульд хилийн чанадад ажиллаж амьдарч буй Монгол Улсын иргэдийн сонгох эрх хязгаарлагдаад буй хэдий ч тэд СОНГОГДОХ эрхээ Зөв ХҮН Электорат эвслийн дэмжлэгтэйгээр эдэлж, сонгуульд  оролцох нэр дэвшигчийн үнэмлэхээ 2020 оны 6-р сарын 02-нд СЕХ-оос албан ёсоор гардан авсан юм. ✅  #Зөвхүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-04T06:10:16+0000";"link";"1";"12";"25";"24";"1";"0";"0";"0";"0"
"1";"158";"1";"110296187292128_140665267588553";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв Хүн  Электорат Эвслээс Цогийн Нандинбаатар, Мягмарын Ариунтуяа, Ренчиндоржийн Энхтуяа нар Улсын Их Хурлын Сонгуулийн түүхэнд анх удаа хилийн чанадаас нэр дэвшиж, цахимаар сонгуульд оролцож байна.  #ЗөвХүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-04T06:04:20+0000";"link";"2";"22";"26";"24";"2";"0";"0";"0";"0"
"1";"159";"1";"110296187292128_140653190923094";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв Хүн Электорат эвслээс 2020 оны Улсын Их Хурлын Сонгуульд өргөн барьж буй мөрийн хөтөлбөрийг аудио хэлбэрээр эндээс сонсоорой.✅   Зөв Хүн Электорат эвслээс Монголчуудад хурд, хүч, ялгарлыг өгөх дээрх гурван тулгуурт үндэслэн нэн тэргүүнд хэрэгжүүлэх ёстой бодлогын арга хэмжээг дараах 5 бүлэгт ангилан оруулав.  Үүнд: 1. Хүндээ хөрөнгө оруулах - Боловсролтой, эрүүл ЗӨВ монгол хүн эх орноо авч явна.✅  2. Дэлхийн технологийг түрүүлж эзэмших - Шилдэг шинэ технологийг бусдаас өрсөн эзэмшиж, ашиглаж чадсан цагт гурван сая Монгол гурван зуун сая мэт болж чадна.✅  3. Байгальд ойр, зөв хөгжлийн үлгэрлэл - Унаган байгаль, түргэн хөгжлийг хослуулж болдгийн үлгэр жишээг Монголчууд дэлхий ертөнцөд үзүүлж чадна.✅  4. Цэвэр төр, авлигагүй улс – Төрөө авлигаас ангид байлгаж, хүчтэй болгож байж Монгол Улс сэргэн хөгжинө.  5. Баялгаа зөв удирдах - Байгалийн баялгийг эдийн засгийн зөв бодлого л бүгдэд хүртээмжтэй орлого болгоно.✅  #зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-04T05:11:22+0000";"link";"20";"425";"370";"357";"11";"0";"2";"0";"0"
"1";"160";"1";"110296187292128_140639580924455";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв Хүн  Электорат Эвслээс Цогийн Нандинбаатар, Мягмарын Ариунтуяа, Ренчиндоржийн Энхтуяа  нар Улсын Их Хурлын Сонгуулийн түүхэнд анх удаа хилийн чанадаас нэр дэвшиж, цахимаар сонгуульд оролцож байна.  Мягмарын Ариунтуяа нь УИХ-н сонгуулийн 3-дугаар тойрог, Баянхонгор аймаг, Ренчиндоржийн Энхтуяа нь 12-р тойрог Сүхбаатар аймаг,Цогийн Нандинбаатар нь 21-р тойрог, Налайх, Багануур, Бага хангай,  дүүргийн  иргэдийг төлөөлж  тус тус нэр дэвшээд байгаа юм.  Нэр дэвшигчид Ковид-19 цар тахлын улмаас эх нутагтаа ирж, сонгуулийн сурталчилгаагаа хийх боломжгүй болсон учраас ийнхүү сонгуулийн сурталчилгааны аянаа цахимаар хэрэгжүүлж байна.   Энэ удаагийн УИХ-н сонгуульд хилийн чанадад ажиллаж амьдарч буй Монгол Улсын иргэдийн сонгох эрх хязгаарлагдаад буй хэдий ч тэд СОНГОГДОХ эрхээ Зөв ХҮН Электорат эвслийн дэмжлэгтэйгээр эдэлж, сонгуульд  оролцох нэр дэвшигчийн үнэмлэхээ 2020 оны 6-р сарын 02-нд СЕХ-оос албан ёсоор гардан авсан юм. ✅  #Зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-04T04:16:35+0000";"photo";"24";"62";"250";"214";"10";"9";"6";"1";"10"
"1";"161";"1";"110296187292128_140621380926275";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв Хүн Электорат Эвслээс бэлтгэсэн Радио хөтөлбөрийг өнөөдөр буюу 6/04-ний өдөр доорх цагийн хуваарийн дагуу хүлээн авна уу.  ИХ Монгол ФМ 99.7: 12:00 ✅ Инээмсэглэл Радио 99.3: 15:00 ✅ NEWS Радио  98.9: 17:00✅ Бизнес Радио  88.8: 18:00✅  #Зөвхүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-04T03:20:19+0000";"status";"0";"18";"36";"36";"0";"0";"0";"0";"0"
"1";"162";"1";"110296187292128_140609380927475";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв хүн зөв Монголыг бүтээнэ.  #ЗөвХүн #Сонгууль2020";"2020-06-04T02:38:19+0000";"video";"13";"129";"153";"149";"4";"0";"0";"0";"0"
"1";"163";"1";"110296187292128_140596384262108";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сэлэнгэ аймагт “Зөв-Хүн-Электорат” эвслээс нэр дэвшиж байгаа ШУА-ийн академич, техникийн шинжлэх ухааны доктор (ScD), профессор Д.Амарсайхан, МУБИС-ийн багш, газарзүйн ухааны доктор (PhD), дэд профессор Ц.Бат-Эрдэнэ, ШУА-ийн эрдэм шинжилгээний ажилтан, газарзүйн ухааны доктор (PhD) А.Мөнх-Эрдэнэ нартай ярилцлаа.✅  #Зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-04T01:47:25+0000";"link";"1";"5";"23";"23";"0";"0";"0";"0";"0"
"1";"164";"1";"110296187292128_140345237620556";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв Электорат Эвслээс бэлтгэсэн ""Монгол Мөрөөдөл"" нэвтрүүлэг өнөөдөр буюу 6-р сарын 03-нд дараах хуваарийн дагуу цацагдах тул та бүхэн хүлээн авна уу.   Парламент Телевиз 19:45 цагаас ✅ Эх Орон Телевиз 20:30 цагаас ✅ Live TV 21:00 цагаас ✅  #Зөвхүн #ЗөвхүнЭлекторат #Сонгууль2020";"2020-06-03T11:03:24+0000";"status";"0";"14";"41";"40";"1";"0";"0";"0";"0"
"1";"165";"1";"110296187292128_140326010955812";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"УИХ-н 29-р тойрогт нэр дэвшигч Т.Доржханд сонгогчидтой хийх уулзалтаа Хан-Уул дүүргийн хөгжлийн бэрхшээлтэй иргэдээс эхлүүлжээ. #ЗөвХүн";"2020-06-03T10:00:53+0000";"photo";"3";"11";"81";"81";"0";"0";"0";"0";"0"
"1";"166";"1";"110296187292128_140295107625569";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"ЗӨВ ХҮН Электорат эвслээс нэр дэвшигчид сонгуулийн сурталчилгааны аянаа гэр хорооллын хороодоос эхлүүлээд байна. #Сонгууль2020 #ЗөвХҮН";"2020-06-03T07:52:34+0000";"photo";"46";"51";"328";"296";"5";"14";"2";"1";"10"
"1";"167";"1";"110296187292128_140292457625834";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"""Зөв хүн Электорат"" РАДИО нэвтрүүлгүүдийг та бүхэн өнөөдөр буюу 6-р сарийн 3-ны өдөр доорх хуваарийн дагуу хүлээн авч сонсоорой. ✅  Инээмсэглэл Радио 99.3: 15:50- цагаас✅ News Радио 88.8: 16:00- цагаас✅ Бизнес Радио 98.9: 16:30-цагаас ✅ Их Монгол ФМ 99.7   17:00 цагаас✅  #Зөвхүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-03T07:39:06+0000";"status";"2";"5";"20";"17";"2";"0";"1";"0";"0"
"1";"168";"1";"110296187292128_140291007625979";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Зөв хүн Электорат эвслийн нэр дэвшигчдийн сонгогчтойгоо хийсэн уулзалтын гэрэл зургуудыг хүлээн авна уу.   Иргэн таны сонголт Зөв байг. ✅ #Зөвхүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-03T07:32:08+0000";"link";"2";"1";"24";"23";"1";"0";"0";"0";"0"
"1";"169";"1";"110296187292128_140274840960929";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"“Зөв Хүн Электорат” эвслээс нэр дэвшигчид өөрсдийн тойргийн иргэдтэйгээ Ковид-19 үеийн аюулгүй зөвлөмжийг баримтлан уулзалт зохион байгуулсаар байна.  Иргэн таны сонголт Зөв байг. ✅ #зөвхүн #зөвхүнЭлекторат #Сонгууль2020";"2020-06-03T06:24:55+0000";"link";"7";"25";"95";"90";"2";"0";"3";"0";"0"
"1";"170";"1";"110296187292128_140227747632305";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"ЗӨВ ХҮН Электорат эвсэл нэгдсэн зорилго #ЗөвХүн #Сонгууль2020";"2020-06-03T03:04:48+0000";"video";"48";"450";"307";"273";"32";"0";"1";"0";"1"
"1";"171";"1";"110296187292128_140227577632322";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Улсын Их Хурлын 2020 оны сонгуульд ЗӨВ ХҮН Электорат эвслээс нэр дэвшигчидтэй танилцаарай. ✅  #зөвхүн #ЗөвхүнЭлекторат #сонгууль2020";"2020-06-03T03:04:00+0000";"photo";"10";"40";"129";"124";"5";"0";"0";"0";"0"
"1";"172";"1";"110296187292128_140113250977088";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-06-02T21:29:00+0000";"photo";"0";"1";"22";"22";"0";"0";"0";"0";"0"
"1";"173";"1";"110296187292128_139998747655205";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-06-02T15:10:31+0000";"photo";"0";"2";"22";"22";"0";"0";"0";"0";"0"
"1";"174";"1";"110296187292128_139894974332249";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"2020 оны Улсын Их Хурлын сонгуулийн 29 дүгээр тойрогт нэр дэвшигч Баярхүүгийн МӨНХЦЭЛМЭГ.  БИЗНЕСИЙН УДИРДЛАГЫН МЭРГЭЖИЛТЭН.  ТОВЧ ТАНИЛЦУУЛГА: “Бид уучлахгүй” хөдөлгөөний удирдагч, ХААИС-ЭЗС-ийг төгссөн.  #зөвхүн #зөвхүнэлекторат #сонгууль2020";"2020-06-02T09:21:38+0000";"photo";"11";"56";"135";"129";"6";"0";"0";"0";"0"
"1";"175";"1";"110296187292128_139891314332615";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Улс төрийн шинэ салхи ✅";"2020-06-02T09:06:17+0000";"link";"0";"28";"102";"99";"2";"0";"1";"0";"0"
"1";"176";"1";"110296187292128_139886930999720";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сонголт таных, харин ирээдүй нь бидний үр хүүхдийнх...    #ЗөвХҮНЭлекторат #ЗөвХҮН";"2020-06-02T08:42:40+0000";"video";"0";"7";"33";"33";"0";"0";"0";"0";"0"
"1";"177";"1";"110296187292128_140239577631122";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"2020 оны Улсын Их Хурлын сонгуулийн 20 дугаар тойрогт нэр дэвшигч Александрын УНДРАХТАМИР.  Геологич, Геофизикийн мэдээллийн технологич МЭРГЭЖИЛТЭЙ  ТОВЧ ТАНИЛЦУУЛГА: Эрдэнэт үйлдвэрийн Геологи, маркшейдерийн хэлтсийн дарга, Ерөнхий геологич Геологич, геофизикийн мэдээллийн технологич, магистр ШУТИС, ОХУ-ын Уралын уул уурхайн их сургуулийг тус тус дүүргэсэн. #зөвхүн #зөвхүнэлекторат #сонгууль2020";"2020-06-03T03:51:56+0000";"photo";"1";"3";"19";"19";"0";"0";"0";"0";"0"
"1";"178";"1";"110296187292128_139869094334837";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Бизнес радио 98.9-өөр 16 цагт өв Хүн Электорат эвслийн сонгуулийн сурталчилгааны аяны албан ёсны нээлтийн үйл ажиллагааны аудио сурвалжилгыг хүлээн аваарай. ✅  #зөвхүн #зөвхүнэлекторат #сонгууль2020  http://business-radio.mn/";"2020-06-02T07:25:49+0000";"link";"0";"2";"12";"12";"0";"0";"0";"0";"0"
"1";"179";"1";"110296187292128_139840094337737";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Өнөөдөр бол бид бүхний хүсэн хүлээсэн өдөр. Ардчилсан монгол улсад хамтаараа, нийтээрээ эрхээ эдэлж, шинэ цагийн төлөөх өөрчлөлтөд ард олноо уриалан дуудах сонгуулийн аяны эхний өдөр болж байна.";"2020-06-02T05:39:04+0000";"photo";"37";"133";"542";"487";"13";"32";"0";"3";"7"
"1";"180";"1";"110296187292128_139838327671247";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"ЗӨВ ХҮН Электорат эвсэл сайн цагийг ойртуулж, сайн үйлс бүхнийг эртлэн гүйцээхийг билэгдэж өглөөний 08:00 цагт сонгуулийн аяны нээлтээ хийлээ.";"2020-06-02T05:22:05+0000";"link";"0";"5";"31";"31";"0";"0";"0";"0";"0"
"1";"181";"1";"110296187292128_139827904338956";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Аяныг нээж ХҮН-ын дарга Б.Найдалаа ""Бид ирээдүйн төлөө, эх орноо гэсэн итгэл үнэмшилтэй, эрдэм мэдлэгтэй нэгэн баг.  Шинэ цагийн мэргэжилтнүүд байна. Монголоо монголоор нь хадгалж, эх орноо хөгжлийн шинэ шатанд гаргах ажлын төлөвлөгөө, хөгжлийн хөтөлбөр бидэнд бэлэн байгаа. Улс орныг амалснаар, цээжээ балбаснаар, оволзож онгирсноор эсвэл шүдэнз сурж лаа асааснаар, хөгжүүлдэггүй юм” гэв.";"2020-06-02T04:18:11+0000";"link";"9";"47";"118";"118";"0";"0";"0";"0";"0"
"1";"182";"1";"110296187292128_139577917697288";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"ХҮН нам гуравдагч хүчнийхээ үүргийг хангалттай биелүүлсэн...";"2020-06-01T13:48:40+0000";"video";"3";"2";"15";"14";"0";"0";"1";"0";"0"
"1";"183";"1";"110296187292128_139560337699046";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Сэрүүлгээ тавьж байгаад үзээрэй 21:45 live";"2020-06-01T13:07:08+0000";"video";"0";"";"11";"11";"0";"0";"0";"0";"0"
"1";"184";"1";"110296187292128_139435411044872";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Улсын Их Хурлын 2020 оны сонгуульд ЗӨВ ХҮН Электорат эвслээс нэр дэвшигчид.  Та манай нэр дэвшигчдийн мэдээлэлтэй эндээс танилцаарай: http://www.zuvhunelectorat.mn/candidates   #Зөвхүн #ЗөвхүнЭлекторатэвсэл #зөвхандлага #Сонгууль2020";"2020-06-01T03:54:38+0000";"photo";"4";"214";"32";"30";"2";"0";"0";"0";"0"
"1";"185";"1";"110296187292128_139290061059407";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-05-31T17:00:06+0000";"link";"0";"1";"20";"20";"0";"0";"0";"0";"0"
"1";"186";"1";"110296187292128_139280977726982";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-05-31T16:27:00+0000";"video";"0";"3";"7";"7";"0";"0";"0";"0";"0"
"1";"187";"1";"110296187292128_139280944393652";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"";"2020-05-31T16:26:47+0000";"video";"0";"4";"8";"8";"0";"0";"0";"0";"0"
"1";"188";"1";"110296187292128_138939874427759";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Мэргэжилтнүүд яагаад бодлого тодорхойлоход оролцох шаардлагатай, дэлхийд бас Монголд юу болоод байгаа талаар. Цаг үе шаардаж байна.";"2020-05-30T16:01:44+0000";"video";"0";"1";"5";"5";"0";"0";"0";"0";"0"
"1";"189";"1";"110296187292128_138918487763231";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Баянгол дүүрэгт нэр дэвшигч инженер Ж.Золжаргал  Жаргалсайхан Золжаргал";"2020-05-30T14:27:34+0000";"video";"0";"5";"10";"10";"0";"0";"0";"0";"0"
"1";"190";"1";"110296187292128_138907117764368";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Монгол Улсын нэр хүндийг дэлхий дахинд өсгөж чадах зарчимч эрхэм Б.Насанбилэг   Батбаярын Насанбилэг";"2020-05-30T13:41:13+0000";"link";"0";"43";"30";"29";"1";"0";"0";"0";"0"
"1";"191";"1";"110296187292128_138756907779389";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"Адъяабатын Амарбаярын ФБ пэйж хуудас";"2020-05-30T01:33:01+0000";"video";"0";"";"0";"0";"0";"0";"0";"0";"0"
"1";"192";"1";"110296187292128_138534571134956";"data";"fetched (200)";"2020-07-23 19:29:12.807354";"Facebook:/<page-id>/posts";"""Зөв хүн электорат"" эвслээс Зууны манлай роман туурвигч Ч.Лодойдамбын зээ тэргүүтэй 15 бүсгүй нэр дэвшинэ.";"2020-05-29T09:17:03+0000";"link";"10";"51";"57";"51";"6";"0";"0";"0";"0"
