"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"message"
"1";"144";"1";"210175192404846_3039822909440046";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T06:22:00+0000";"video";"27";"842";"286";"270";"15";"0";"1";"0";"0";"Ил тод байдал, иргэний чөлөөт оролцоо хамгаас чухал. Хэрэв та саналаа өгөхгүй бол гомдол гаргах эрхээ ч бас алдана.  Эрх чөлөө, үзэл бодол, тэгш эрх, дуу хоолой, үнэт зүйл, #Ардчилал #НададХамаатай Энэ жил хамгийн олон залуу саналаа өгсөн сонгууль болгохын төлөө #Саналаа_Өсгөж #РекордЭвдье"
"1";"145";"1";"210175192404846_3039813879440949";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T06:17:02+0000";"video";"256";"2735";"893";"792";"74";"1";"24";"0";"2";"Ардчилсан нам ӨСӨЛТИЙГ ӨРХ БҮРД хүргэх зорилт тавьж байна. Нэг ч иргэн ажлаасаа халагдахгүй, цалин нь багасахгүй, орон байрнаасаа гарахгүй байх, нэг ч компани дампуурахгүй, орлого нь буурахгүй, дарамтад орохгүй байх хямралын эсрэг цогц бодлого хэрэгжүүлнэ. Уудам тэнүүн эх орондоо жавартай өвөл, хавсаргатай хавар шиг өнгөрсөн 4 жилийг халж, дундуур нь дүүргэх, дутуу нь гүйцэх, хүн бүр ажил орлоготой, өрх бүр өсөлт дэвшилтэй байх дэлгэр зун шиг хангалуун сайхан цагийг хамтдаа бүтээцгээе _МОНГОЛ ӨРХ_ХӨГЖЛИЙН БОДЛОГО 2020"
"1";"146";"1";"210175192404846_3039808929441444";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T06:13:40+0000";"video";"18";"1288";"285";"263";"22";"0";"0";"0";"0";"Залуусын сэтгэхүй эрүүл байх нь нийгэм эрүүл байх үндэс. Сэтгэлгээний чөлөөт байдал, шүүмжит сэтгэхүйг хамгаалцгаая.  Эрх чөлөө, үзэл бодол, тэгш эрх, дуу хоолой, үнэт зүйл, #Ардчилал #НададХамаатай Энэ жил хамгийн олон залуу саналаа өгсөн сонгууль болгохын төлөө #Саналаа_Өсгөж #РекордЭвдье."
"1";"147";"1";"210175192404846_268620867726886";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T04:05:38+0000";"video";"42";"203";"329";"306";"18";"0";"1";"1";"3";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЯЛАЛТЫН МЭДЭЭ”  Өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"148";"1";"210175192404846_3039594569462880";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T04:02:33+0000";"video";"33";"216";"266";"256";"5";"3";"2";"0";"0";"ТӨРӨӨ ЗАСЪЯ..."
"1";"149";"1";"210175192404846_3039357459486591";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-17T01:46:04+0000";"video";"293";"1159";"529";"491";"21";"3";"0";"13";"1";"ТӨРӨӨ ЗАСЪЯ..."
"1";"150";"1";"210175192404846_3037822072973463";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T13:15:48+0000";"video";"431";"1235";"1977";"1858";"68";"26";"1";"3";"21";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЯЛАЛТЫН МЭДЭЭ”"
"1";"151";"1";"210175192404846_3037745389647798";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T12:34:22+0000";"video";"295";"992";"311";"288";"8";"6";"1";"1";"7";"ТӨРӨӨ ЗАСЪЯ..."
"1";"152";"1";"210175192404846_3037409953014675";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T09:40:28+0000";"photo";"53";"597";"589";"563";"24";"1";"1";"0";"0";"ӨСӨЛТИЙГ ДЭМЖСЭН_ХӨГЖЛИЙН БАГ 🇲🇳🇲🇳🇲🇳  ӨСӨЛТИЙГ ӨРХ БҮРД ХҮРГЭНЭ 👏👏👏"
"1";"153";"1";"210175192404846_3037335976355406";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T09:03:09+0000";"video";"209";"772";"325";"306";"18";"0";"0";"1";"0";"""ӨСӨЛТИЙН ТУХАЙ ЯРЪЯ"" ПОДКАСТ: ЭДИЙН ЗАСАГЧ Ч.ОТГОЧУЛУУ"
