"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578263309772383";"123";"2";"2";"577762583155789_578263309772383";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Сэтгэлгүй сэхээтэн бснаас сэтгэлтэй ядуу бсан дээр"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578185116446869";"124";"2";"2";"577762583155789_578185116446869";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Хүнээ дээдэлсэн хөгжлөө хөтөлсөн сайхан хөтөлбөр бна баярлалаа. Дэмжиж бгаа шүү. Амжилт ялалт"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578294409769273";"125";"2";"2";"577762583155789_578294409769273";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Жил бүр ШУТИС ийг инженерүүд төгсөөд байдаг юм биш үү?"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578416686423712";"126";"2";"2";"577762583155789_578416686423712";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Э.Долгион  та  сонгогдоод ""Түмэн инженер""   төслөө  хэрэгжүүлээрэй. Таныг  сонгож байна."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578410353091012";"127";"2";"2";"577762583155789_578410353091012";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"Zaluchuda songuuldaa idevhitei oroltsod songoltoo zuv higeree amjilt husie"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578282836437097";"128";"2";"2";"577762583155789_578282836437097";"data";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";"мэдээж энэ хэрэгжвэл сайн л даа гэхдээ баттай хэрэгжих нь үү гэвэл худал юм шиг санагдаж байна жилд 2500аас 3000 оюутан элсдэг гэж хэлсэн шүү дээ тэгвэл эдгээр оюутнууд бүгд суралцана гэж олйгох уу? тархи угаах аа больмоор юмаа тэгэхлээр энэ хөтөлбөр хэрэгжих нь юу л бол одоо намд итгэх итгэл алга даа үүнийгээ далимдуулж хэр их мөнгө үрэн тарна хийх бол доо "
"229761661289218_577762583155789/577762583155789_577788293153218/229761661289218_577762583155789";"129";"2";"2";"229761661289218_577762583155789";"offcut";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/229761661289218_577762583155789";"130";"2";"2";"229761661289218_577762583155789";"headers";"fetched (200)";"2020-06-17 23:18:22.918862";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578282836437097";"131";"2";"2";"577762583155789_578282836437097";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"мэдээж энэ хэрэгжвэл сайн л даа гэхдээ баттай хэрэгжих нь үү гэвэл худал юм шиг санагдаж байна жилд 2500аас 3000 оюутан элсдэг гэж хэлсэн шүү дээ тэгвэл эдгээр оюутнууд бүгд суралцана гэж олйгох уу? тархи угаах аа больмоор юмаа тэгэхлээр энэ хөтөлбөр хэрэгжих нь юу л бол одоо намд итгэх итгэл алга даа үүнийгээ далимдуулж хэр их мөнгө үрэн тарна хийх бол доо "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577876806477700";"132";"2";"2";"577762583155789_577876806477700";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"🤗🤗🤗"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577884906476890";"133";"2";"2";"577762583155789_577884906476890";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"👍👍"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578509963081051";"134";"2";"2";"577762583155789_578509963081051";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"👏🏾"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577788999819814";"135";"2";"2";"577762583155789_577788999819814";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Боловсрол бол амьдралын эх үүсвэр болдог энэ төсөл цаг үеэ олсон байна залуучууд минь сонголтоо зөв хийцгээе"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578174163114631";"136";"2";"2";"577762583155789_578174163114631";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Залуучуудаа дэмжинэ гэдэг хамгийн зөв бодлого."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_579051069693607";"137";"2";"2";"577762583155789_579051069693607";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Bolovsroltoi hun ajiltai Ajiltai hun orlogotoi!"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578813683050679";"138";"2";"2";"577762583155789_578813683050679";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Amjilt "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578541913077856";"139";"2";"2";"577762583155789_578541913077856";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Амжилт хүсье."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578514946413886";"140";"2";"2";"577762583155789_578514946413886";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"👍👍"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578493009749413";"141";"2";"2";"577762583155789_578493009749413";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"ardchilsan nam ardiin nam songohgui ee"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578492533082794";"142";"2";"2";"577762583155789_578492533082794";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"medehgyi dee ene toirog hotiin tov hirnee neg ch hyyhdiin togloh ologtoi talbai baidaggui nadtai lav uulzaagui bn daa "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578426973089350";"143";"2";"2";"577762583155789_578426973089350";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Yarihaasaa iluu hiideg hunshig sanagddag. amjilt!"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578424556422925";"144";"2";"2";"577762583155789_578424556422925";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Б. Дэлгэрбат Б. Мөнхзолбоо"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578410353091012";"145";"2";"2";"577762583155789_578410353091012";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Zaluchuda songuuldaa idevhitei oroltsod songoltoo zuv higeree amjilt husie"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578401579758556";"146";"2";"2";"577762583155789_578401579758556";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Боловсролтой хүн ажилтай Ажилтай хүн орлоготой 👍👍👍👍👍"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578370976428283";"147";"2";"2";"577762583155789_578370976428283";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Ireedvin vndes n bolowsrol shvde hamgin heregt zvil. ochnoon zaluus surguuli togssn ch ajilgv bsar l bn. "
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578354969763217";"148";"2";"2";"577762583155789_578354969763217";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578349176430463";"149";"2";"2";"577762583155789_578349176430463";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Дэмжинэ!"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578332026432178";"150";"2";"2";"577762583155789_578332026432178";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"AN-in 1000 injener Hutulbur bieylelee olson.Odoo urgeljluulen 10000 injrner Hutulbur bolgon toliluulj bna"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578296769769037";"151";"2";"2";"577762583155789_578296769769037";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Дэмжнээ"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578291319769582";"152";"2";"2";"577762583155789_578291319769582";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Eh vvsveree buruu hiigeed bna"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578285563103491";"153";"2";"2";"577762583155789_578285563103491";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Амжилт  хүсье"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578229546442426";"154";"2";"2";"577762583155789_578229546442426";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Мундаг оюунлаг залуу"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578213296444051";"155";"2";"2";"577762583155789_578213296444051";"data";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";"Боловсролгүй хүн яах вэ"
"229761661289218_577762583155789/577762583155789_577788293153218/229761661289218_577762583155789";"156";"2";"2";"229761661289218_577762583155789";"offcut";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/229761661289218_577762583155789";"157";"2";"2";"229761661289218_577762583155789";"headers";"fetched (200)";"2020-06-17 23:18:23.156430";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578208633111184";"158";"2";"2";"577762583155789_578208633111184";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Amjilt Ylaltig hvsie"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578202959778418";"159";"2";"2";"577762583155789_578202959778418";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Estoi mundag"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578198803112167";"160";"2";"2";"577762583155789_578198803112167";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Demgig bna.Amgilt."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578195666445814";"161";"2";"2";"577762583155789_578195666445814";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"bolowsrol chawdar medleg"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578189183113129";"162";"2";"2";"577762583155789_578189183113129";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"👏👏👏👏"
