"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777694722354199";"152";"4";"2";"1777529205704084_1777694722354199";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Ард түмний сонголтын эсрэг, төрийн хуулийг зөрчсөн эдгээр хүмүүстэы хариуцлага тооцох хэрэгтэй. Эд нарт Монголын хууль яагаад үйлчилдэггүй юм. Хуулийн өмнө бүх хүмүүс тэгш эрхтэй."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777639152359756";"153";"4";"2";"1777529205704084_1777639152359756";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"ЖДҮ-чин олон хүний амин зуулга булаасан ноц.той хэрэгт орооцолдсон гишүүдэд ямар арга хэмжээ авсан(авах)бэ? Иймэрхүү гишүүдийг чинь бодхоор дургүй хүрч байна шүү.Нэг үхрийн эвэр доргивол мянган үхрийн эвэр доргино гэдэг шиг энэ хүмүүс дээрээ тодорхой арга хэмжээ авч өгнө үү.Бусдаараа үнэхээр хийж чадаж байвал ард түмэн нэг байтугай нэлээн хэдэн сонгууль.д дэмжих хүч бий шүү дээ.Намаа цэвэрлэж цэгцэлж өгнө үү."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777640055692999";"154";"4";"2";"1777529205704084_1777640055692999";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Одоо ажилдаа шууд ороо. Орлогод нийцсэн орон сууцаа бариад жилийн 4-6 хувийн хүүтэй болгож хүүг нь бууруулах мөн банкны хүүлэлтийг зогсоож реформ хийх хэрэгтэй. Залуучууд үүнийг л хүсч сонголтоо хийсэн"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777668349023503";"155";"4";"2";"1777529205704084_1777668349023503";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Ард түмэн сонголтоо зөв хийсэн МАН  ялах нь тодорхой байсан шүү дээ  ард түмэн хүчтэй гэдэгээ харууллаа  эхлүүлсэн ажилаа хийх л үлдлээ"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777610719029266";"156";"4";"2";"1777529205704084_1777610719029266";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Саад болоод байлгүй ажлыг нь эхлүүл. Ард иргэдийн сонголтыг мэргэн байна. Амжилт"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777601032363568";"157";"4";"2";"1777529205704084_1777601032363568";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"МАН ыг  дэмжсэн, хариуцлагатай ажиллана гэдэгт итгэж байна. Амжилт хүсье."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777629242360747";"158";"4";"2";"1777529205704084_1777629242360747";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Дахиад сонгууль явуулбал бүр ч сайн.МАН  100 хувь ялна!!"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777655009024837";"159";"4";"2";"1777529205704084_1777655009024837";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Ёоо юу гэж гар тооллого зөрөхөв дээ. Царцааны нүүдлийг яагаад шалгахгүй байгаан бэ???Хөөе МАНыхаан"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777598595697145";"160";"4";"2";"1777529205704084_1777598595697145";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"МАН даа саналаа өгсөн дэмждэг шүү амжилт"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777583015698703";"161";"4";"2";"1777529205704084_1777583015698703";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Монгол ардын намдаа амжилт хүсье    дэмжсээр байх болно"
